         78243574 function calls (77879266 primitive calls) in 362.061 seconds

   Ordered by: cumulative time
   List reduced from 2898 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  362.070  181.035 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/IPython/core/interactiveshell.py:3541(run_code)
        2    0.000    0.000  362.070  181.035 {built-in method builtins.exec}
        1    0.008    0.008  362.070  362.070 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/backtest.py:41(run)
       41    0.000    0.000  347.303    8.471 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/portfolio.py:270(update_signal)
       41    0.005    0.000  347.302    8.471 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/portfolio.py:224(generate_order_new)
    40/20    0.002    0.000  347.254   17.363 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/decorators.py:36(wrapper)
       20    0.012    0.001  347.253   17.363 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:369(get_order)
       20    0.003    0.000  146.466    7.323 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:281(produce_order_candidates)
       40    0.013    0.000  146.464    3.662 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:149(chain_details)
      246    0.048    0.000  135.295    0.550 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/helper.py:692(change_to_last_busday)
      246    0.011    0.000  134.259    0.546 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/helper.py:680(is_USholiday)
      246    0.007    0.000  133.787    0.544 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas_market_calendars/calendars/nyse.py:1276(valid_days)
      246    0.003    0.000  133.614    0.543 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas_market_calendars/market_calendar.py:570(valid_days)
      246   15.484    0.063  133.510    0.543 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas_market_calendars/market_calendar.py:553(holidays)
    16644  115.651    0.007  115.651    0.007 {method 'acquire' of '_thread.lock' objects}
     2503    0.027    0.000  115.567    0.046 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/threading.py:295(wait)
     1766    0.017    0.000  113.093    0.064 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/concurrent/futures/_base.py:428(result)
      246    0.014    0.000  103.690    0.422 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas/tseries/holiday.py:443(holidays)
      246    0.086    0.000  103.039    0.419 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas/tseries/holiday.py:476(<listcomp>)
     7134    0.400    0.000  102.952    0.014 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas/tseries/holiday.py:249(dates)
       20    0.008    0.000   83.922    4.196 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:59(populate_cache)
       80    0.003    0.000   83.579    1.045 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/threads.py:4(runThreads)
      371    0.010    0.000   83.408    0.225 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/requests/sessions.py:500(request)
      343    0.012    0.000   82.496    0.241 /Users/chiemelienwanisobi/cloned_repos/FinanceDatabase/dbase/DataAPI/ThetaData.py:34(request_from_proxy)
      343    0.008    0.000   82.472    0.240 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/requests/api.py:14(request)
      371    0.019    0.000   81.716    0.220 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/requests/sessions.py:673(send)
     1196    0.004    0.000   80.948    0.068 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/concurrent/futures/_base.py:612(result_iterator)
     1116    0.006    0.000   80.944    0.073 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/concurrent/futures/_base.py:314(_result_or_cancel)
       28    0.003    0.000   80.278    2.867 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/assets/Stock.py:81(__init__)
      371    0.012    0.000   76.895    0.207 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/requests/adapters.py:613(send)


         78243574 function calls (77879266 primitive calls) in 362.061 seconds

   Ordered by: cumulative time
   List reduced from 2898 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  362.070  181.035 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/IPython/core/interactiveshell.py:3541(run_code)
        2    0.000    0.000  362.070  181.035 {built-in method builtins.exec}
        1    0.008    0.008  362.070  362.070 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/backtest.py:41(run)
       41    0.000    0.000  347.303    8.471 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/portfolio.py:270(update_signal)
       41    0.005    0.000  347.302    8.471 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/portfolio.py:224(generate_order_new)
    40/20    0.002    0.000  347.254   17.363 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/decorators.py:36(wrapper)
       20    0.012    0.001  347.253   17.363 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:369(get_order)
       20    0.003    0.000  146.466    7.323 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:281(produce_order_candidates)
       40    0.013    0.000  146.464    3.662 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:149(chain_details)
      246    0.048    0.000  135.295    0.550 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/helper.py:692(change_to_last_busday)
      246    0.011    0.000  134.259    0.546 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/helper.py:680(is_USholiday)
      246    0.007    0.000  133.787    0.544 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas_market_calendars/calendars/nyse.py:1276(valid_days)
      246    0.003    0.000  133.614    0.543 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas_market_calendars/market_calendar.py:570(valid_days)
      246   15.484    0.063  133.510    0.543 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas_market_calendars/market_calendar.py:553(holidays)
    16644  115.651    0.007  115.651    0.007 {method 'acquire' of '_thread.lock' objects}
     2503    0.027    0.000  115.567    0.046 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/threading.py:295(wait)
     1766    0.017    0.000  113.093    0.064 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/concurrent/futures/_base.py:428(result)
      246    0.014    0.000  103.690    0.422 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas/tseries/holiday.py:443(holidays)
      246    0.086    0.000  103.039    0.419 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas/tseries/holiday.py:476(<listcomp>)
     7134    0.400    0.000  102.952    0.014 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/pandas/tseries/holiday.py:249(dates)


         78243574 function calls (77879266 primitive calls) in 362.061 seconds

   Ordered by: cumulative time
   List reduced from 2898 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  362.070  181.035 /Users/chiemelienwanisobi/miniconda3/envs/openbb/lib/python3.11/site-packages/IPython/core/interactiveshell.py:3541(run_code)
        2    0.000    0.000  362.070  181.035 {built-in method builtins.exec}
        1    0.008    0.008  362.070  362.070 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/backtest.py:41(run)
       41    0.000    0.000  347.303    8.471 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/portfolio.py:270(update_signal)
       41    0.005    0.000  347.302    8.471 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/portfolio.py:224(generate_order_new)
    40/20    0.002    0.000  347.254   17.363 /Users/chiemelienwanisobi/cloned_repos/QuantTools/trade/helpers/decorators.py:36(wrapper)
       20    0.012    0.001  347.253   17.363 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:369(get_order)
       20    0.003    0.000  146.466    7.323 /Users/chiemelienwanisobi/cloned_repos/QuantTools/EventDriven/riskmanager.py:281(produce_order_candidates)
