,Ticker,PnL,ReturnPct,EntryPrice,EntryCommission,EntrySlippage,EntryMarketValue,TotalEntryCost,AuxilaryEntryCost,ExitPrice,ExitCommission,ExitSlippage,ExitMarketValue,TotalExitCost,AuxilaryExitCost,Quantity,EntryTime,ExitTime,Duration,Positions,SignalID
0,SBUX,-765.8081413487702,-0.3950940112764184,193.82934681158457,13.0,125.29346811584486,1925.2934681158458,19.382934681158456,138.29346811584486,117.24853267670755,13.0,-89.51467323292373,1185.4853267670758,11.724853267670756,102.51467323292373,10,2023-01-04,2023-03-14,69,&L:SBUX20240119C115&S:SBUX20240119C120,SBUX20230104LONG
1,BA,-7.273411873118448,-0.017810078019109155,204.1937117095868,2.6,15.787423419173763,405.7874234191736,4.083874234191736,18.387423419173764,200.55700577302758,2.6,-21.28598845394487,403.71401154605513,4.0111401154605515,23.885988453944872,2,2023-01-04,2023-09-11,250,&L:BA20240119C220&S:BA20240119C225,BA20230104LONG
2,NVDA,3727.89307544584,1.3466585690917996,197.73243413669485,18.200000000000003,125.05407791372285,2750.0540779137277,27.682540779137277,143.25407791372285,464.01051095425487,18.200000000000003,-275.65284664038325,6514.347153359568,64.96147153359568,293.85284664038323,14,2023-01-19,2023-12-20,335,&L:NVDA20240119C205&S:NVDA20240119C210,NVDA20230119LONG
3,NFLX,-571.8447681756496,-0.5896779844840083,161.62628395565096,7.800000000000002,61.95770373390803,961.957703733906,9.697577037339059,69.75770373390803,66.3188225930427,7.800000000000002,-14.287064441743347,405.7129355582562,3.9791293555825624,22.087064441743347,6,2023-01-24,2023-09-27,246,&L:NFLX20240119C455&S:NFLX20240119C460,NFLX20230124LONG
4,META,968.6266112057332,1.7387109702484587,185.69822276007116,3.900000000000001,20.69466828021398,553.1946682802135,5.570946682802135,24.59466828021398,508.57375982864886,3.900000000000001,-45.378720514053406,1529.6212794859466,15.257212794859466,49.278720514053404,3,2023-01-30,2023-12-21,325,&L:META20240119C165&S:META20240119C170,META20230130LONG
5,AMD,154.1004847101857,0.07502333648216232,171.16950086904507,15.600000000000003,58.434010428538215,2038.4340104285407,20.540340104285406,74.03401042853822,184.0112079282272,15.600000000000003,-86.26550486127344,2223.7344951387263,22.081344951387265,101.86550486127345,12,2023-02-02,2023-09-21,231,&L:AMD20240119C100&S:AMD20240119C105,AMD20230202LONG
6,AAPL,-325.46211630692034,-0.18783124093514234,192.52631877102064,11.700000000000001,33.53686893918568,1721.0368689391858,17.327368689391857,45.23686893918568,156.36386140358505,11.700000000000001,-66.02524736773398,1418.9747526322656,14.072747526322654,77.72524736773399,9,2023-02-03,2023-02-27,24,&L:AAPL20240119C170&S:AAPL20240119C175,AAPL20230203LONG
7,AAPL,226.61203316968178,0.16056484135169516,201.62040035128177,9.100000000000001,89.74280245897246,1402.2428024589726,14.113428024589725,98.84280245897247,233.9935479469506,9.100000000000001,-102.94516437134558,1647.0548356286542,16.37954835628654,112.04516437134558,7,2023-03-06,2023-10-26,234,&L:AAPL20240315C170&S:AAPL20240315C175,AAPL20230306LONG
8,SBUX,-314.5071676872089,-0.2568191607662008,204.10416857066545,7.800000000000002,76.82501142399252,1216.825011423993,12.246250114239928,84.62501142399252,151.68630728946397,7.800000000000002,-57.08215626321609,917.9178437367839,9.101178437367839,64.88215626321609,6,2023-04-19,2023-05-04,15,&L:SBUX20240119C115&S:SBUX20240119C120,SBUX20230418LONG
9,AMZN,511.00665032036886,0.5354569076109437,190.86751634238323,6.5,35.337581711916364,947.8375817119162,9.543375817119161,41.837581711916364,293.068846406457,6.5,-28.15576796771513,1471.844232032285,14.65344232032285,34.65576796771513,5,2023-04-28,2023-10-26,181,&L:AMZN20240315C135&S:AMZN20240315C145,AMZN20230428LONG
10,TSLA,-343.8349811376838,-0.19690380676957564,194.02309899363007,11.700000000000001,47.007890942673434,1734.5078909426704,17.462078909426705,58.70789094267344,155.8192122005541,11.700000000000001,-70.92709019501189,1414.072909804987,14.023729098049868,82.62709019501189,9,2023-06-02,2023-10-23,143,&L:TSLA20240621C266.67&S:TSLA20240621C273.33,TSLA20230602LONG
11,COST,3194.015366715171,2.708295788718027,589.6725498042921,2.6,71.74509960858444,1176.745099608584,11.793450996085841,74.34509960858443,2186.6802331618774,2.6,-154.03953367624368,4375.960466323754,43.73360466323754,156.63953367624367,2,2023-07-03,2023-12-29,179,&L:COST20240621C550&S:COST20240621C560,COST20230703LONG
12,NFLX,217.9054939252335,0.6261906176336893,347.9858812779345,1.3,9.185881277934493,346.68588127793447,3.479858812779345,10.485881277934494,565.891375203168,1.3,-37.80862479683318,567.1913752031679,5.65891375203168,39.108624796833176,1,2023-10-20,2023-12-29,70,&L:NFLX20240920C450&S:NFLX20240920C460,NFLX20231020LONG
13,AAPL,852.9196208862452,0.5374892017461363,198.35738516126762,10.4,56.459081290140745,1576.459081290141,15.86859081290141,66.85908129014075,304.97233777204826,10.4,-85.82129782361392,2450.178702176386,24.39778702176386,96.22129782361392,8,2023-11-03,2023-12-29,56,&L:AAPL20240920C220&S:AAPL20240920C235,AAPL20231103LONG
14,SBUX,-511.0000153463233,-0.5468109644938912,186.90189060831534,6.5,53.00945304157689,928.0094530415769,9.345094530415768,59.50945304157689,84.70188753905067,6.5,-29.99056230474656,430.0094376952534,4.235094376952533,36.49056230474656,5,2023-11-08,2023-12-05,27,&L:SBUX20250117C115&S:SBUX20250117C120,SBUX20231108LONG
15,AMD,910.2554222518901,0.400891033471331,206.416422476328,14.3,56.28064723960797,2256.280647239608,22.70580647239608,70.58064723960797,289.166915408318,14.3,-214.8639305085112,3195.1360694914983,31.80836069491498,229.1639305085112,11,2023-11-09,2023-12-29,50,&L:AMD20240920C120&S:AMD20240920C125,AMD20231109LONG
16,AMZN,12.90779199204087,0.009202273898004367,200.382025683582,9.100000000000001,28.574179785074328,1393.5741797850737,14.026741797850738,37.67417978507433,202.22599596815925,9.100000000000001,-115.31802822288486,1424.6819717771145,14.155819717771147,124.41802822288486,7,2023-11-14,2023-12-29,45,&L:AMZN20240920C160&S:AMZN20240920C165,AMZN20231114LONG
17,TSLA,-123.75230489029323,-0.0896183048889264,197.26885841597516,9.100000000000001,41.782008911827084,1371.782008911826,13.80882008911826,50.882008911827086,179.58995771736184,9.100000000000001,-63.770295978466066,1266.2297040215328,12.57129704021533,72.87029597846606,7,2023-11-15,2023-12-29,44,&L:TSLA20240920C270&S:TSLA20240920C275,TSLA20231115LONG
18,BA,184.6989877165169,0.708846273987711,260.56282510658855,1.3,6.762825106588677,259.26282510658854,2.6056282510658852,8.062825106588678,445.26181282310546,1.3,-18.438187176894427,446.5618128231054,4.452618128231054,19.738187176894428,1,2023-11-24,2023-12-29,35,&L:BA20250117C270&S:BA20250117C280,BA20231124LONG
19,NVDA,156.56310340699724,0.026128280105577523,285.3377966861355,27.3,294.7937304088538,5964.7937304088455,59.920937304088454,322.0937304088538,292.7931825626592,27.3,-386.5431661841569,6175.956833815843,61.48656833815843,413.8431661841569,21,2023-12-20,2023-12-29,9,&L:NVDA20241220C590&S:NVDA20241220C600,NVDA20230119LONG
20,META,-113.66463701845714,-0.07691562862448226,184.72292148418725,10.4,47.38337187350492,1467.3833718734982,14.77783371873498,57.78337187350492,170.5148418568801,10.4,-45.48126514495241,1374.5187348550407,13.641187348550408,55.88126514495241,8,2023-12-21,2023-12-29,8,&L:META20250117C400&S:META20250117C405,META20230130LONG
