datetime,root,expiration,strike,right,bid_size,closebid,ask_size,closeask,date,midpoint,weighted_midpoint,spot,valuation_date,moneyness,log_moneyness,t,dte,f,div_schedule,fwd_moneyness,vol
2025-04-08,AAPL,2025-09-19,215.0,C,2,5.35,2,5.65,20250408,5.5,5.5,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.8158505637478944,0.3712370757037663
2025-04-08,AAPL,2025-09-19,215.0,P,15,44.7,7,46.2,20250408,45.45,45.17727272727273,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.8158505637478944,0.3659234715459973
2025-04-08,AAPL,2025-10-17,215.0,P,2,43.8,3,47.55,20250408,45.675,46.05,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.8172662750325169,0.3489714695059029
2025-04-08,AAPL,2025-12-19,215.0,C,2,8.0,1,8.45,20250408,8.225,8.149999999999999,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.8231373456033508,0.3469602837823063
2025-04-08,AAPL,2025-10-17,215.0,C,3,6.15,2,6.5,20250408,6.325,6.29,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.8172662750325169,0.3614034654278405
2025-04-08,AAPL,2025-12-19,215.0,P,2,44.8,3,48.5,20250408,46.65,47.019999999999996,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.8231373456033508,0.3405653879551615
2025-04-08,AAPL,2026-01-16,215.0,C,7,8.8,25,9.2,20250408,9.0,9.112499999999999,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.7748117727583846,283.0,177.28261263781664,<Schedule: 3 dividends>,0.8245702913386821,0.34215853560447723
2025-04-08,AAPL,2026-01-16,215.0,P,2,45.2,9,48.85,20250408,47.025000000000006,48.18636363636364,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,0.7748117727583846,283.0,177.28261263781664,<Schedule: 3 dividends>,0.8245702913386821,0.3357817401956749
2025-04-08,AAPL,2026-12-18,210.0,P,3,46.7,3,50.3,20250408,48.5,48.5,172.4199981689453,2025-04-08,1.2179561665128427,0.19717418055542457,1.6947296372347707,619.0,183.3923482393081,<Schedule: 6 dividends>,0.8732968963776576,0.334161315330569
2025-04-08,AAPL,2026-12-18,210.0,C,3,19.45,1,20.25,20250408,19.85,19.65,172.4199981689453,2025-04-08,1.2179561665128427,0.19717418055542457,1.6947296372347707,619.0,183.3923482393081,<Schedule: 6 dividends>,0.8732968963776576,0.32082624581428654
2025-04-08,AAPL,2025-05-16,220.0,C,6,0.87,7,0.91,20250408,0.89,0.8915384615384616,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7871183935092679,0.49319526621425597
2025-04-08,AAPL,2025-05-16,220.0,P,1,45.45,2,48.3,20250408,46.875,47.349999999999994,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7871183935092679,0.34711556815367395
2025-04-08,AAPL,2026-06-18,215.0,C,10,13.05,1,13.7,20250408,13.375,13.10909090909091,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.837825518421981,0.3275920858876037
2025-04-08,AAPL,2027-01-15,210.0,C,3,20.2,2,21.0,20250408,20.6,20.52,172.4199981689453,2025-04-08,1.2179561665128427,0.19717418055542457,1.7713894592744694,647.0,183.71558058471942,<Schedule: 7 dividends>,0.8748360980224734,0.3199284922761163
2025-04-08,AAPL,2026-06-18,215.0,P,17,47.75,5,51.4,20250408,49.575,48.57954545454545,172.4199981689453,2025-04-08,1.2469551228583866,0.22070467796561877,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.837825518421981,0.3346324986884278
2025-04-08,AAPL,2027-01-15,210.0,P,3,46.85,2,50.65,20250408,48.75,48.370000000000005,172.4199981689453,2025-04-08,1.2179561665128427,0.19717418055542457,1.7713894592744694,647.0,183.71558058471942,<Schedule: 7 dividends>,0.8748360980224734,0.332500222745631
2025-04-08,AAPL,2025-05-09,220.0,P,2,45.5,3,48.75,20250408,47.125,47.45,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.08487337440109514,31.0,173.02837446208682,<Schedule: 0 dividends>,0.7864926111913038,0.38781833839401225
2025-04-08,AAPL,2025-05-09,220.0,C,15,0.7,29,0.76,20250408,0.73,0.7395454545454545,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.08487337440109514,31.0,173.02837446208682,<Schedule: 0 dividends>,0.7864926111913038,0.5235466947752532
2025-04-08,AAPL,2025-09-19,220.0,C,2,4.4,7,4.6,20250408,4.5,4.555555555555555,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7973085054808968,0.3649961378450831
2025-04-08,AAPL,2025-09-19,220.0,P,3,48.9,6,50.3,20250408,49.599999999999994,49.83333333333333,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7973085054808968,0.3602136838942049
2025-04-08,AAPL,2025-05-23,220.0,C,1,0.95,2,1.69,20250408,1.3199999999999998,1.4433333333333331,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.12320328542094455,45.0,173.30382822246338,<Schedule: 0 dividends>,0.7877446737384699,0.49667647868950826
2025-04-08,AAPL,2025-05-23,220.0,P,10,45.5,4,50.0,20250408,47.75,46.785714285714285,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.12320328542094455,45.0,173.30382822246338,<Schedule: 0 dividends>,0.7877446737384699,0.42652272182355944
2025-04-08,AAPL,2025-06-20,220.0,C,4,1.71,4,1.77,20250408,1.74,1.74,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.1998631074606434,73.0,173.85605197306847,<Schedule: 0 dividends>,0.7902547816957658,0.41456975149192293
2025-04-08,AAPL,2025-10-17,220.0,P,6,49.1,6,51.0,20250408,50.05,50.05,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7986920415090506,0.351710970103603
2025-04-08,AAPL,2025-06-20,220.0,P,1,46.0,2,48.65,20250408,47.325,47.766666666666666,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.1998631074606434,73.0,173.85605197306847,<Schedule: 0 dividends>,0.7902547816957658,0.20190463303351813
2025-04-08,AAPL,2025-10-17,220.0,C,2,5.1,9,5.35,20250408,5.225,5.304545454545455,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7986920415090506,0.35464306016828745
2025-04-08,AAPL,2025-07-18,220.0,C,3,2.47,2,2.72,20250408,2.595,2.5700000000000003,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.27652292950034224,101.0,174.1567653046623,<Schedule: 1 dividends>,0.7916216604757377,0.39341505907716195
2025-04-08,AAPL,2025-07-18,220.0,P,1,46.55,3,49.15,20250408,47.849999999999994,48.5,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.27652292950034224,101.0,174.1567653046623,<Schedule: 1 dividends>,0.7916216604757377,0.3100702518779699
2025-04-08,AAPL,2025-08-15,220.0,C,7,3.45,7,3.65,20250408,3.55,3.55,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.3531827515400411,129.0,174.71170689548703,<Schedule: 1 dividends>,0.7941441222522138,0.381844738807341
2025-04-08,AAPL,2025-08-15,220.0,P,4,48.35,7,49.55,20250408,48.95,49.11363636363636,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.3531827515400411,129.0,174.71170689548703,<Schedule: 1 dividends>,0.7941441222522138,0.36285562560956935
2025-04-08,AAPL,2026-03-20,220.0,C,2,9.25,2,9.8,20250408,9.525,9.525,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.947296372347707,346.0,178.556173974649,<Schedule: 3 dividends>,0.8116189726120409,0.330225971093841
2025-04-08,AAPL,2026-03-20,220.0,P,2,49.95,2,53.9,20250408,51.925,51.925,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.947296372347707,346.0,178.556173974649,<Schedule: 3 dividends>,0.8116189726120409,0.3314320935598966
2025-04-08,AAPL,2025-05-16,225.0,C,10,0.64,13,0.69,20250408,0.665,0.6682608695652174,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7696268736535063,0.49598701218684244
2025-04-08,AAPL,2025-05-16,225.0,P,3,51.65,5,52.95,20250408,52.3,52.4625,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7696268736535063,0.38807997882913003
2025-04-08,AAPL,2025-12-19,220.0,C,2,6.8,10,7.2,20250408,7.0,7.133333333333333,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.8044296786578201,0.341094956162492
2025-04-08,AAPL,2025-12-19,220.0,P,2,48.8,3,52.3,20250408,50.55,50.89999999999999,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.8044296786578201,0.33446388109016745
2025-04-08,AAPL,2026-06-18,220.0,C,4,11.65,10,12.35,20250408,12.0,12.149999999999999,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.818784029366936,0.323757641132333
2025-04-08,AAPL,2026-06-18,220.0,P,13,51.75,10,54.55,20250408,53.15,52.96739130434782,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.818784029366936,0.3291252889190145
2025-04-08,AAPL,2026-01-16,220.0,P,2,49.1,3,52.75,20250408,50.925,51.29,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.7748117727583846,283.0,177.28261263781664,<Schedule: 3 dividends>,0.8058300574446211,0.3306506698109181
2025-04-08,AAPL,2026-01-16,220.0,C,5,7.6,1,7.8,20250408,7.699999999999999,7.633333333333333,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,0.7748117727583846,283.0,177.28261263781664,<Schedule: 3 dividends>,0.8058300574446211,0.3357623201109609
2025-04-08,AAPL,2025-09-19,225.0,P,26,53.0,7,54.7,20250408,53.85,53.36060606060606,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7795905386924324,0.3512190330404901
2025-04-08,AAPL,2025-09-19,225.0,C,3,3.6,2,3.85,20250408,3.725,3.7,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7795905386924324,0.3613454402942016
2025-04-08,AAPL,2025-10-17,225.0,P,19,53.2,3,55.45,20250408,54.325,53.50681818181818,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7809433294755161,0.34773183961233617
2025-04-08,AAPL,2025-10-17,225.0,C,3,4.2,3,4.45,20250408,4.325,4.325,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7809433294755161,0.3497634774232611
2025-04-08,AAPL,2025-05-09,225.0,P,3,50.35,4,53.75,20250408,52.05,52.292857142857144,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.08487337440109514,31.0,173.02837446208682,<Schedule: 0 dividends>,0.7690149976092747,0.4144003960811815
2025-04-08,AAPL,2025-05-09,225.0,C,24,0.51,30,0.57,20250408,0.54,0.5433333333333333,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.08487337440109514,31.0,173.02837446208682,<Schedule: 0 dividends>,0.7690149976092747,0.5277723265356622
2025-04-08,AAPL,2025-05-16,230.0,P,3,55.0,2,58.0,20250408,56.5,56.2,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7528958546610388,0.3930782712078093
2025-04-08,AAPL,2025-05-16,230.0,C,7,0.49,10,0.53,20250408,0.51,0.5135294117647059,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7528958546610388,0.5018070844106871
2025-04-08,AAPL,2025-05-23,225.0,P,2,50.0,10,54.9,20250408,52.45,54.08333333333333,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.12320328542094455,45.0,173.30382822246338,<Schedule: 0 dividends>,0.7702392365442817,0.3659126535302029
2025-04-08,AAPL,2025-05-23,225.0,C,2,0.66,6,1.88,20250408,1.27,1.575,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.12320328542094455,45.0,173.30382822246338,<Schedule: 0 dividends>,0.7702392365442817,0.5243110127448556
2025-04-08,AAPL,2025-06-20,225.0,C,6,1.3,7,1.36,20250408,1.33,1.3323076923076924,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.1998631074606434,73.0,173.85605197306847,<Schedule: 0 dividends>,0.7726935643247488,0.41264404288485024
2025-04-08,AAPL,2026-06-18,225.0,C,3,10.5,10,11.05,20250408,10.775,10.923076923076925,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.8005888287143375,0.32162437277467265
2025-04-08,AAPL,2025-06-20,225.0,P,1,50.8,3,53.45,20250408,52.125,52.78750000000001,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.1998631074606434,73.0,173.85605197306847,<Schedule: 0 dividends>,0.7726935643247488,0.2359143881263327
2025-04-08,AAPL,2026-06-18,225.0,P,9,55.5,3,59.0,20250408,57.25,56.375,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.8005888287143375,0.330694810265589
2025-04-08,AAPL,2025-07-18,225.0,C,8,1.93,9,2.02,20250408,1.975,1.9776470588235293,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.27652292950034224,101.0,174.1567653046623,<Schedule: 1 dividends>,0.7740300680207213,0.3865853889680459
2025-04-08,AAPL,2025-07-18,225.0,P,5,52.25,3,54.05,20250408,53.15,52.925,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.27652292950034224,101.0,174.1567653046623,<Schedule: 1 dividends>,0.7740300680207213,0.3652626014843233
2025-04-08,AAPL,2025-09-19,230.0,P,3,57.6,3,59.1,20250408,58.35,58.35,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7626429182860752,0.3456899017258355
2025-04-08,AAPL,2025-08-15,225.0,P,2,51.45,3,54.2,20250408,52.825,53.10000000000001,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.3531827515400411,129.0,174.71170689548703,<Schedule: 1 dividends>,0.7764964750910535,0.3080800291983932
2025-04-08,AAPL,2025-08-15,225.0,C,3,2.77,2,3.0,20250408,2.885,2.862,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.3531827515400411,129.0,174.71170689548703,<Schedule: 1 dividends>,0.7764964750910535,0.3788839810742761
